Title,DOI,Link
On the Effectiveness of Interpretable Feedforward Neural Network,10.1109/IJCNN55064.2022.9892343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140770160&doi=10.1109%2FIJCNN55064.2022.9892343&partnerID=40&md5=d87485470b70c7936bcd3c82c8ede442
LockBoost: Detecting Malware Binaries by Locking False Alarms,10.1109/IJCNN55064.2022.9892667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140754590&doi=10.1109%2FIJCNN55064.2022.9892667&partnerID=40&md5=5962ecbd50a44173b2db79ea9dc68f99
MaleficNet: Hiding Malware into Deep Neural Networks Using Spread-Spectrum Channel Coding,10.1007/978-3-031-17143-7_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140754129&doi=10.1007%2F978-3-031-17143-7_21&partnerID=40&md5=e1497477eb94bf46b87673bea43c9b09
Multi-label Classification for Android Malware Based on Active Learning,10.1109/TDSC.2022.3213689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140743963&doi=10.1109%2FTDSC.2022.3213689&partnerID=40&md5=fcbb3c9436f847d4c56ef3abd41869e4
An Infection-Identifying and Self-Evolving System for IoT Early Defense from Multi-Step Attacks,10.1007/978-3-031-17146-8_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140726900&doi=10.1007%2F978-3-031-17146-8_27&partnerID=40&md5=c1602d4bf0b9daa14ebfaf579c6489b6
IoTEnsemble: Detection of Botnet Attacks on Internet of Things,10.1007/978-3-031-17146-8_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140717203&doi=10.1007%2F978-3-031-17146-8_28&partnerID=40&md5=e0baa5f1c07593bc19e3a58bed2e4b9f
K-mean and mean-shift algorithms in machine learning model for efficient malware categorisation,10.1504/ijitst.2022.125789,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140573907&doi=10.1504%2Fijitst.2022.125789&partnerID=40&md5=e071b4cabe526377769b040bd1dbf14b
Towards Optimizing Malware Detection: An Approach Based on Generative Adversarial Networks and Transformers,10.1007/978-3-031-16014-1_47,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140488015&doi=10.1007%2F978-3-031-16014-1_47&partnerID=40&md5=8d62c95985a4ab1006d8f3315f88704e
Malware Detected and Tell Me Why: An Verifiable Malware Detection Model with Graph Metric Learning,10.1007/978-3-031-17551-0_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140480242&doi=10.1007%2F978-3-031-17551-0_20&partnerID=40&md5=8e003adf185b35933caac5fa14bb2fea
"4th International Conference on Science of Cyber Security, SciSec 2022",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140473153&partnerID=40&md5=0d9c770d7573cb4ca37cd05c83f48471
Android Malware Detection Using BERT,10.1007/978-3-031-16815-4_31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140469467&doi=10.1007%2F978-3-031-16815-4_31&partnerID=40&md5=6699e1b6db9b57d90fd8362ab1e95ed7
Malicious URL Recognition Based on Multi-feature Fusion and Machine Learning,10.23919/CCC55666.2022.9902389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140457853&doi=10.23919%2FCCC55666.2022.9902389&partnerID=40&md5=81f6882e7ebe8717fd2dfbf9595fdc23
A Two-Stage Method for Fine-Grained DNS Covert Tunnel Behavior Detection,10.1007/978-3-031-17551-0_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140438709&doi=10.1007%2F978-3-031-17551-0_13&partnerID=40&md5=dcd75c65d58b7862563fc55f3d633f22
HINCDG: Multi-Meta-Path Graph Auto-Encoders for Mining of Weak Association Malicious Domains,10.1007/978-3-031-17551-0_26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140434965&doi=10.1007%2F978-3-031-17551-0_26&partnerID=40&md5=f7bf1b0a780fbdc2cec3ad88334d5904
Malware Classification Based on Semi-Supervised Learning,10.1007/978-3-031-17551-0_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140433939&doi=10.1007%2F978-3-031-17551-0_19&partnerID=40&md5=bb5100ca32d40e2df304c7c4aa92a146
SECURE DATA SCIENCE: Integrating Cyber Security and Data Science,10.1201/9781003081845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140168307&doi=10.1201%2F9781003081845&partnerID=40&md5=2ecf3c5f6ecb5bd0183f92d39527140e
Objection!: Identifying Misclassified Malicious Activities with XAI,10.1109/ICC45855.2022.9838748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140093836&doi=10.1109%2FICC45855.2022.9838748&partnerID=40&md5=1780866a3d0b8c591c066d5c83ae6568
Android malware detection using hybrid ANFIS architecture with low computational cost convolutional layers,10.7717/peerj-cs.1092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140043514&doi=10.7717%2Fpeerj-cs.1092&partnerID=40&md5=a6363dedef17714b053617439a48f579
Detecting and Interpreting Changes in Scanning Behavior in Large Network Telescopes,10.1109/TIFS.2022.3211644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139849328&doi=10.1109%2FTIFS.2022.3211644&partnerID=40&md5=8abdb6fa665f9237a8aaf4548acf0adc
A Novel Hybrid Deep Learning Approach to Code Generation Aimed at Mitigating the Real-Time Network Attack in the Mobile Experiment Via GRU-LM and Word2vec,10.1155/2022/3999868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139733736&doi=10.1155%2F2022%2F3999868&partnerID=40&md5=140946e22e2fe65ffe69594a093e5f95
Cybers Security Analysis and Measurement Tools Using Machine Learning Approach,10.1109/ICAIC53980.2022.9897045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139595814&doi=10.1109%2FICAIC53980.2022.9897045&partnerID=40&md5=e1d0c033cee4ce5f2dd9231a4faa9df4
